City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,27.73,77,40,2.43,MV,1702331729
1,port mathurin,-19.6833,63.4167,25.94,76,91,2.67,MU,1702331734
2,albany,42.6001,-73.9662,2.51,75,12,5.36,US,1702331727
3,talnakh,69.4865,88.3972,-26.54,98,100,4.7,RU,1702331558
4,edinburgh of the seven seas,-37.0676,-12.3116,13.53,90,100,9.22,SH,1702331720
5,waitangi,-43.9535,-176.5597,14.34,91,100,3.13,NZ,1702331722
6,bowen,-20.0167,148.2333,26.86,81,70,10.06,AU,1702331925
7,colonia,50.9333,6.95,9.86,81,0,4.12,DE,1702331546
8,blackmans bay,-43.0167,147.3167,16.07,79,20,0.89,AU,1702331718
9,st. john's,47.5649,-52.7093,12.66,95,75,8.75,CA,1702331771
10,mount gambier,-37.8333,140.7667,21.21,71,60,3.72,AU,1702331537
11,olyokminsk,60.3736,120.4264,-27.72,95,100,2.11,RU,1702331925
12,hadibu,12.65,54.0333,24.43,69,62,4.54,YE,1702331726
13,port-aux-francais,-49.35,70.2167,5.65,98,99,10.34,TF,1702331720
14,yellowknife,62.456,-114.3525,-23.71,77,75,1.03,CA,1702331728
15,nova sintra,14.8667,-24.7167,23.18,68,28,7.35,CV,1702331769
16,walvis bay,-22.9575,14.5053,16.72,82,18,3.6,NA,1702331925
17,el calafate,-50.3408,-72.2768,11.78,49,86,6.12,AR,1702331710
18,nea alikarnassos,35.3333,25.1667,14.71,83,40,2.06,GR,1702331925
19,tazovsky,67.4667,78.7,-25.39,95,100,3.9,RU,1702331719
20,luderitz,-26.6481,15.1594,18.89,55,0,9.34,NA,1702331712
21,grytviken,-54.2811,-36.5092,2.31,77,32,5.49,GS,1702331719
22,stanley,54.868,-1.6985,0.43,97,20,0.0,GB,1702331734
23,punta arenas,-53.15,-70.9167,13.06,41,75,10.8,CL,1702331741
24,paraparaumu,-40.9167,175.0167,18.36,56,42,2.82,NZ,1702331926
25,ushuaia,-54.8,-68.3,10.81,43,0,1.54,AR,1702331690
26,merizo village,13.2658,144.6691,27.85,88,49,6.51,GU,1702331926
27,sarupathar,26.1984,93.8094,15.08,93,0,0.45,IN,1702331926
28,tsarevo,42.1667,27.85,5.68,86,2,1.78,BG,1702331926
29,coahuayana de hidalgo,18.7,-103.6583,31.16,49,64,2.16,MX,1702331926
30,thompson,55.7435,-97.8558,-10.91,73,100,9.77,CA,1702331723
31,mount pearl,47.5166,-52.7813,12.19,95,75,8.75,CA,1702331926
32,kone,-21.0595,164.8658,27.79,51,78,1.39,NC,1702331789
33,lorengau,-2.0226,147.2712,28.46,83,97,4.96,PG,1702331765
34,invercargill,-46.4,168.35,10.41,58,64,8.63,NZ,1702331262
35,kavaratti,10.5669,72.642,27.6,79,94,2.95,IN,1702331550
36,adamstown,-25.066,-130.1015,21.64,60,1,1.95,PN,1702331722
37,wailua homesteads,22.0669,-159.378,27.24,83,20,4.12,US,1702331727
38,aasiaat,68.7098,-52.8699,-1.04,76,100,5.13,GL,1702331735
39,ancud,-41.8697,-73.8203,12.22,87,100,5.29,CL,1702331748
40,carnarvon,-24.8667,113.6333,24.43,39,0,2.78,AU,1702331760
41,yesilyurt,38.2972,38.2497,5.97,88,100,0.55,TR,1702331927
42,lebu,-37.6167,-73.65,15.18,72,100,3.14,CL,1702331747
43,saint-philippe,-21.3585,55.7679,24.77,81,59,4.69,RE,1702331927
44,iqaluit,63.7506,-68.5145,-15.15,72,100,4.12,CA,1702331609
45,puerto natales,-51.7236,-72.4875,12.25,47,75,8.75,CL,1702331570
46,onguday,50.75,86.15,-16.04,81,100,0.5,RU,1702331927
47,souillac,-20.5167,57.5167,25.21,78,20,2.06,MU,1702331927
48,whitehorse,60.7161,-135.0538,0.43,74,75,12.35,CA,1702331540
49,redencao,-4.2258,-38.7306,25.63,74,39,2.07,BR,1702331748
50,nova xavantina,-14.6667,-52.35,28.66,61,99,1.31,BR,1702331927
51,hermanus,-34.4187,19.2345,17.37,87,62,5.81,ZA,1702331728
52,chonchi,-42.6128,-73.8092,13.56,93,100,2.32,CL,1702331769
53,burewala,30.1667,72.65,14.19,28,33,1.39,PK,1702331928
54,dunedin,-45.8742,170.5036,10.45,72,87,4.02,NZ,1702331722
55,san antonio de pale,-1.4014,5.6325,25.63,85,100,3.45,GQ,1702331728
56,yuzhno-kurilsk,44.0306,145.8556,0.76,76,100,4.06,RU,1702331340
57,lakatoro,-16.0999,167.4164,26.02,68,100,6.33,VU,1702331928
58,margaret river,-33.95,115.0667,15.59,72,0,4.31,AU,1702331717
59,axim,4.8699,-2.2405,26.97,82,16,3.15,GH,1702331928
60,ketchikan,55.3422,-131.6461,4.99,87,75,3.09,US,1702331331
61,vorgashor,67.5833,63.95,-19.1,90,100,5.95,RU,1702331720
62,port alfred,-33.5906,26.891,17.88,95,4,0.45,ZA,1702331739
63,aral,40.5156,81.2636,-2.06,51,77,1.97,CN,1702331781
64,pandan,14.0453,124.1694,26.07,86,65,3.64,PH,1702331769
65,utrik,11.2278,169.8474,27.15,71,20,9.34,MH,1702331721
66,amahai,-3.3333,128.9167,26.25,81,95,1.96,ID,1702331336
67,west island,-12.1568,96.8225,24.99,83,93,3.09,CC,1702331720
68,ngereklmadel,7.4883,134.4856,27.68,78,51,4.85,PW,1702331929
69,olonkinbyen,70.9221,-8.7187,-0.16,99,100,5.61,SJ,1702331730
70,inhambane,-23.865,35.3833,25.66,93,100,2.68,MZ,1702331554
71,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702331348
72,ilhabela,-23.7781,-45.3581,22.7,90,89,3.87,BR,1702331209
73,punta del este,-34.9667,-54.95,26.06,89,40,6.71,UY,1702331801
74,longyearbyen,78.2186,15.6401,-6.09,68,75,5.14,SJ,1702331749
75,kapuskasing,49.4169,-82.4331,-8.95,79,100,4.63,CA,1702331721
76,vallo della lucania,40.2297,15.2658,8.74,86,43,0.92,IT,1702331929
77,lincoln city,44.9582,-124.0179,11.51,94,65,4.02,US,1702331876
78,silchar,24.8167,92.8,15.68,92,1,1.3,IN,1702331929
79,faya-largeau,17.9257,19.1043,18.8,34,0,7.68,TD,1702331929
80,qal'ah-ye shahr,35.5473,65.5676,-0.25,95,97,0.47,AF,1702331929
81,lihue,21.9789,-159.3672,27.58,79,20,4.12,US,1702331753
82,duiwelskloof,-23.6934,30.14,18.54,95,100,0.36,ZA,1702331930
83,murzuq,25.9155,13.9184,12.21,41,0,2.5,LY,1702331930
84,bredasdorp,-34.5322,20.0403,18.19,74,40,3.63,ZA,1702331724
85,iskateley,67.6803,53.1512,-14.48,91,100,8.44,RU,1702331726
86,byalynichy,53.9983,29.7126,-0.84,97,100,6.22,BY,1702331930
87,mount isa,-20.7333,139.5,24.87,36,0,6.17,AU,1702331930
88,heunghae,36.1125,129.3522,8.26,82,100,8.15,KR,1702331930
89,mokhsogollokh,61.4681,128.9203,-28.1,91,100,3.99,RU,1702331930
90,kingston,17.997,-76.7936,29.53,69,20,9.77,JM,1702331551
91,namibe,-15.1961,12.1522,22.29,71,46,3.3,AO,1702331732
92,keflavik,64.0049,-22.5624,-1.05,86,20,3.09,IS,1702331784
93,atafu village,-8.5421,-172.5159,28.74,79,100,10.87,TK,1702331722
94,as samawah,31.332,45.2944,21.0,32,100,3.8,IQ,1702331931
95,as sulayyil,20.4607,45.5779,14.14,27,33,3.02,SA,1702331836
96,ironwood,46.4547,-90.171,-4.55,79,0,6.17,US,1702331931
97,dakhla,23.6848,-15.958,21.01,46,11,4.63,EH,1702331734
98,vilyuchinsk,52.9306,158.4028,-8.85,84,14,3.52,RU,1702331539
99,buka,40.8108,69.1986,-5.47,95,100,4.04,UZ,1702331931
100,horsham,51.064,-0.3272,10.7,87,75,1.03,GB,1702331484
101,arkhangel'sk,64.5401,40.5433,-13.94,77,40,3.0,RU,1702331761
102,las tablas,7.7667,-80.2833,28.99,99,14,3.17,PA,1702331340
103,east ballina,-28.8667,153.5833,23.78,64,76,0.64,AU,1702331779
104,namsos,64.4662,11.4957,-4.97,93,34,5.14,NO,1702331931
105,klyuchi,52.2667,79.1667,-24.13,87,28,6.26,RU,1702331768
106,papatowai,-46.5619,169.4708,9.85,66,55,9.02,NZ,1702331731
107,gadzhiyevo,69.2551,33.3362,-13.17,91,94,7.98,RU,1702331733
108,la passe,45.5549,-0.8967,14.13,90,100,5.47,FR,1702331700
109,cloverdale,38.8055,-123.0172,19.38,63,17,1.79,US,1702331932
110,ghadamis,30.1337,9.5007,13.5,42,0,2.73,LY,1702331932
111,zhalantun,48.0,122.7167,-26.04,91,26,2.4,CN,1702331859
112,partenit,44.578,34.3446,10.47,78,86,1.59,UA,1702331932
113,polyarnyy,69.1989,33.4478,-12.66,91,96,7.53,RU,1702331780
114,ladario,-19.0047,-57.6017,33.05,62,0,2.57,BR,1702331932
115,ribeira grande,38.5167,-28.7,14.22,77,40,2.57,PT,1702331724
116,puerto ayora,-0.7393,-90.3518,27.98,78,72,3.75,EC,1702331715
117,minas de marcona,-15.2119,-75.1103,18.3,71,7,6.71,PE,1702331740
118,hamilton,39.1834,-84.5333,5.13,63,20,4.12,US,1702331344
119,vila velha,-20.3297,-40.2925,27.97,83,20,6.17,BR,1702331778
120,danville,36.586,-79.395,7.36,51,0,4.63,US,1702331481
121,khandyga,62.6667,135.6,-33.62,99,100,0.22,RU,1702331932
122,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702331728
123,olinda,-8.0089,-34.8553,27.85,69,40,3.6,BR,1702331933
124,bandon,51.7469,-8.7425,9.77,94,100,4.83,IE,1702331933
125,port elizabeth,-33.918,25.5701,17.28,92,0,1.54,ZA,1702331724
126,satipo,-11.2522,-74.6386,29.47,61,83,0.71,PE,1702331933
127,smolyan,41.5853,24.6919,0.75,74,16,1.52,BG,1702331933
128,kodiak,57.79,-152.4072,-0.27,64,20,3.6,US,1702331335
129,lensk,60.7253,114.9278,-28.82,98,98,1.92,RU,1702331933
130,castillos,-34.1667,-53.8333,19.17,82,75,5.04,UY,1702331179
131,port lincoln,-34.7333,135.8667,18.62,65,77,4.51,AU,1702331597
132,mejit,10.2753,170.8646,27.19,69,17,8.18,MH,1702331748
133,alice springs,-23.7,133.8833,15.75,59,0,0.0,AU,1702331576
134,bethel,41.3712,-73.414,5.29,66,100,5.14,US,1702331693
135,ilulissat,69.2167,-51.1,2.01,64,100,7.72,GL,1702331529
136,yuli,9.6989,10.2744,20.36,23,2,3.13,NG,1702331933
137,baihe,22.15,107.2333,22.03,89,100,1.13,CN,1702331933
138,pop,40.8736,71.1089,2.27,84,99,4.65,UZ,1702331934
139,altay,47.8667,88.1167,-8.22,96,100,0.83,CN,1702331934
140,bilibino,68.0546,166.4372,-20.14,95,100,1.6,RU,1702331698
141,pangody,65.85,74.4859,-26.55,89,100,5.63,RU,1702331759
142,dumas,35.8656,-101.9732,13.63,24,0,3.09,US,1702331934
143,daru,-9.0763,143.2092,26.21,87,55,4.02,PG,1702331766
144,estevan,49.1334,-102.9842,-3.81,68,0,9.26,CA,1702331888
145,pisco,-13.7,-76.2167,23.03,73,0,8.75,PE,1702331745
146,kiuruvesi,63.65,26.6167,-15.3,97,100,1.69,FI,1702331934
147,juriquilla,20.7167,-100.45,11.4,67,100,1.04,MX,1702331934
148,isafjordur,66.0755,-23.124,-4.88,82,93,0.82,IS,1702331723
149,nuuk,64.1835,-51.7216,1.34,86,100,17.49,GL,1702331719
150,hawaiian paradise park,19.5933,-154.9731,25.57,94,75,1.54,US,1702331735
151,new norfolk,-42.7826,147.0587,16.72,46,90,1.04,AU,1702331934
152,harper,4.375,-7.7169,26.37,83,23,2.95,LR,1702331731
153,tura,25.5198,90.2201,14.71,89,0,1.44,IN,1702331706
154,plymouth,41.8334,-70.8328,7.09,70,100,5.66,US,1702331902
155,chanasma,23.7167,72.1167,17.9,35,28,2.24,IN,1702331935
156,babayurt,43.6002,46.7789,5.89,75,100,11.99,RU,1702331935
157,green river,41.5286,-109.4662,2.22,69,96,0.55,US,1702331935
158,tazacorte,28.629,-17.9293,20.64,48,0,2.68,ES,1702331354
159,chibougamau,49.9168,-74.3659,-9.21,86,100,2.57,CA,1702331736
160,san luis de la loma,17.2706,-100.8939,30.08,58,98,2.03,MX,1702331935
161,saint-pierre,-21.3393,55.4781,24.82,73,0,6.69,RE,1702331751
162,margate,51.3813,1.3862,7.61,92,1,1.34,GB,1702331935
163,san andres,12.5847,-81.7006,27.01,94,40,6.69,CO,1702331935
164,haiku-pauwela,20.9219,-156.3051,30.01,60,20,7.2,US,1702331750
165,san patricio,28.017,-97.5169,20.48,36,100,4.51,US,1702331766
166,yemetsk,63.4721,41.7941,-11.34,94,100,3.96,RU,1702331935
167,gunjur,13.2019,-16.7339,24.04,69,0,0.0,GM,1702331935
168,l'govskiy,51.6307,35.2775,-1.18,96,100,4.63,RU,1702331936
169,duong dong,10.2167,103.9667,25.0,94,20,1.03,VN,1702331936
170,praia da vitoria,38.7333,-27.0667,14.14,82,20,5.94,PT,1702331756
171,charters towers,-20.1,146.2667,23.59,85,100,6.47,AU,1702331936
172,qarazhal,48.0078,70.7903,-24.23,83,80,8.61,KZ,1702331731
173,ciudad lazaro cardenas,17.9583,-102.2,30.92,47,89,1.14,MX,1702331495
174,korla,41.7597,86.1469,-3.26,61,73,1.9,CN,1702331936
175,katabu,-4.9333,122.5167,25.35,90,90,0.46,ID,1702331936
176,nantucket,41.2835,-70.0995,7.06,70,0,5.14,US,1702331648
177,zeribet el oued,34.6828,6.5111,15.48,53,0,1.44,DZ,1702331352
178,chyhyryn,49.0838,32.6555,2.52,99,100,5.07,UA,1702331936
179,villa mercedes,-33.6757,-65.4578,33.9,25,20,7.23,AR,1702331936
180,kenai,60.5544,-151.2583,-0.95,94,100,13.38,US,1702331340
181,geraldton,-28.7667,114.6,22.23,26,0,5.14,AU,1702331257
182,awjilah,29.1081,21.2869,15.67,72,42,6.14,LY,1702331757
183,minab,27.1467,57.0801,21.25,45,100,0.29,IR,1702331937
184,kalymnos,36.95,26.9833,15.74,72,40,2.57,GR,1702331937
185,qaqortoq,60.7167,-46.0333,-1.35,96,100,5.17,GL,1702331540
186,kayangel,8.0823,134.7173,28.36,76,41,6.5,PW,1702331920
187,saldanha,-33.0117,17.9442,17.03,91,54,7.94,ZA,1702331785
188,tisul',55.7611,88.3122,-37.5,100,86,0.56,RU,1702331937
189,tebessa,35.4042,8.1242,9.6,71,0,2.06,DZ,1702331937
190,duyun,26.2667,107.5167,7.6,90,100,2.46,CN,1702331937
191,avarua,-21.2078,-159.775,26.03,83,75,10.29,CK,1702331735
192,kailua-kona,19.6406,-155.9956,29.17,78,40,4.12,US,1702331773
193,mohr,54.3528,9.7167,5.64,99,75,3.6,DE,1702331752
194,sinabang,2.4803,96.3801,25.91,81,98,0.96,ID,1702331755
195,massawa,15.6097,39.45,27.85,62,84,0.35,ER,1702331937
196,gewane,10.1664,40.6453,23.71,51,10,2.78,ET,1702331938
197,farasan,16.7022,42.1183,27.79,70,9,6.99,SA,1702331938
198,moab,38.5733,-109.5498,7.49,32,76,1.11,US,1702331691
199,georgetown,5.4112,100.3354,26.08,97,20,1.54,MY,1702331538
200,diglur,18.55,77.6,17.5,60,45,1.41,IN,1702331938
201,magadan,59.5667,150.8,-9.12,95,100,4.26,RU,1702331938
202,tiksi,71.6872,128.8694,-22.19,100,100,3.85,RU,1702331721
203,shenjiamen,29.9576,122.298,9.04,84,100,10.5,CN,1702331755
204,kamin-kashyrskyi,51.6241,24.9586,1.36,99,100,5.17,UA,1702331938
205,san juan,-31.5375,-68.5364,37.47,15,0,4.77,AR,1702331697
206,kristiansund,63.1115,7.732,-2.64,80,0,1.03,NO,1702331938
207,la'ie,21.6477,-157.9253,28.98,75,18,2.24,US,1702331736
208,ternate,0.8,127.4,26.91,84,28,3.0,ID,1702331938
209,sisimiut,66.9395,-53.6735,-0.67,88,100,10.39,GL,1702331345
210,namtsy,62.7161,129.6658,-33.54,99,100,1.39,RU,1702331938
211,fortuna,40.5982,-124.1573,17.18,82,0,0.89,US,1702331751
212,monticello,45.3055,-93.7941,1.19,77,0,4.63,US,1702331939
213,leava,-14.3,-178.1667,26.66,61,70,3.2,WF,1702331939
214,port augusta,-32.5,137.7667,20.5,48,60,3.82,AU,1702331800
215,bubaque,11.2833,-15.8333,28.02,63,1,5.82,GW,1702331939
216,labytnangi,66.6572,66.4183,-27.72,99,100,3.29,RU,1702331939
217,ust-nera,64.5667,143.2,-19.46,98,100,3.4,RU,1702331740
218,okhotsk,59.3833,143.3,-9.62,90,100,2.04,RU,1702331744
219,udachny,66.4167,112.4,-24.92,97,100,3.99,RU,1702331717
220,jamestown,42.097,-79.2353,0.01,77,100,5.14,US,1702331555
221,cabo san lucas,22.8909,-109.9124,28.12,60,0,2.07,MX,1702331562
222,oranjemund,-28.55,16.4333,16.17,93,1,6.03,NA,1702331939
223,cockburn town,21.4612,-71.1419,26.98,78,40,6.17,TC,1702331760
224,rundu,-17.9333,19.7667,26.31,45,89,3.9,NA,1702331911
225,huicungo,-7.2833,-76.8,29.18,63,86,0.32,PE,1702331940
226,sorong,-0.8833,131.25,27.81,77,94,1.81,ID,1702331940
227,yuzhno-sukhokumsk,44.6581,45.6436,4.12,81,100,10.88,RU,1702331940
228,newman,37.3138,-121.0208,16.24,49,96,1.34,US,1702331747
229,ha'il,27.5219,41.6907,14.01,26,0,4.12,SA,1702331805
230,hasaki,35.7333,140.8333,12.38,86,100,10.86,JP,1702331742
231,rawson,-43.3002,-65.1023,16.33,59,67,3.25,AR,1702331940
232,agneaux,49.119,-1.1061,11.23,93,100,4.62,FR,1702331940
233,urangan,-25.3,152.9,24.52,65,95,6.32,AU,1702331940
234,queenstown,-31.8976,26.8753,15.4,79,48,0.49,ZA,1702331774
235,guantanamo,20.1444,-75.2092,26.76,84,44,2.09,CU,1702331940
236,prince rupert,54.3161,-130.3201,5.05,79,0,8.23,CA,1702331752
237,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-17.46,81,100,2.66,RU,1702331940
238,novyy urengoy,66.0833,76.6333,-25.05,88,100,5.05,RU,1702331940
239,touros,-5.1989,-35.4608,26.68,75,0,6.19,BR,1702331763
240,klaksvik,62.2266,-6.589,4.51,84,100,6.4,FO,1702331773
241,rio claro,-22.4114,-47.5614,22.72,81,80,2.51,BR,1702331799
242,nsanje,-16.92,35.262,25.78,78,78,0.85,MW,1702331941
243,howrah,22.5892,88.3103,17.0,82,0,2.06,IN,1702331744
244,phan thiet,10.9333,108.1,21.99,85,94,2.48,VN,1702331941
245,tostado,-29.232,-61.7692,28.23,45,0,4.01,AR,1702331941
246,el charco,2.4769,-78.1105,27.39,85,78,2.47,CO,1702331941
247,ouesso,1.6136,16.0517,22.62,93,100,0.73,CG,1702331941
248,emerald,-23.5333,148.1667,25.19,65,96,8.48,AU,1702331941
249,kuching,1.55,110.3333,26.12,97,40,1.03,MY,1702331941
250,sao paulo de olivenca,-3.3783,-68.8725,26.91,93,87,0.31,BR,1702331770
251,xicotencatl,23.0167,-98.8833,18.8,44,100,5.08,MX,1702331941
252,medicine hat,50.0501,-110.6683,-0.16,50,75,3.09,CA,1702331734
253,bikenibeu village,1.3673,173.1241,28.52,72,81,1.38,KI,1702331755
254,afaahiti,-17.75,-149.2833,27.81,78,95,10.22,PF,1702331556
255,callao,-12.0667,-77.15,22.16,68,75,6.17,PE,1702331785
256,samraong,12.4526,105.5873,20.36,84,26,1.49,KH,1702331942
257,tolanaro,-25.0319,46.9987,26.04,94,20,6.17,MG,1702331743
258,cascais,38.6979,-9.4215,17.87,97,100,6.26,PT,1702331942
259,weno,7.4515,151.8468,26.97,89,100,3.6,FM,1702331729
260,las khorey,11.1595,48.1967,24.86,69,12,2.55,SO,1702331942
261,la penita de jaltomba,21.0333,-105.25,28.83,65,6,0.52,MX,1702331942
262,ramapuram,13.1167,79.2,21.45,91,88,1.31,IN,1702331942
263,palmer,42.1584,-72.3287,4.75,63,20,7.2,US,1702331943
264,manta,-0.95,-80.7333,27.88,83,75,4.92,EC,1702331943
265,mazamitla,19.9167,-103.0333,13.74,68,89,3.05,MX,1702331943
266,benguela,-12.5763,13.4055,26.23,83,100,2.15,AO,1702331770
267,huarmey,-10.0681,-78.1522,22.18,77,8,4.49,PE,1702331848
268,mariehamn,60.0973,19.9348,-1.77,86,100,5.14,AX,1702331943
269,jesup,31.6074,-81.8854,13.88,50,0,0.0,US,1702331943
270,la malbaie,47.6575,-70.1559,0.37,82,100,3.46,CA,1702331721
271,n'zeto,-7.2312,12.8666,26.5,78,100,1.92,AO,1702331944
272,dauphin,51.1494,-100.0502,-2.92,59,100,7.2,CA,1702331944
273,kelso,46.1468,-122.9084,10.83,96,100,3.09,US,1702331944
274,puerto lempira,15.2667,-83.7667,26.41,87,28,4.49,HN,1702331944
275,antigonish,45.6169,-61.9986,15.1,92,100,9.39,CA,1702331944
276,meadow lakes,61.6247,-149.6011,-0.27,90,75,0.0,US,1702331944
277,sitka,57.0531,-135.33,6.94,76,100,5.66,US,1702331724
278,kirakira,-10.4544,161.9205,28.27,74,76,0.98,SB,1702331773
279,pasni,25.2631,63.471,23.65,27,75,4.01,PK,1702331944
280,college,64.8569,-147.8028,-8.03,82,100,0.0,US,1702331747
281,mossel bay,-34.1831,22.146,17.96,80,0,3.99,ZA,1702331945
282,brisas de zicatela,15.8369,-97.0419,30.29,62,40,2.06,MX,1702331945
283,ornskoldsvik,63.2909,18.7153,-5.47,93,100,2.57,SE,1702331945
284,fort bragg,35.139,-79.006,8.75,58,0,2.57,US,1702331945
285,smithers,54.7804,-127.1743,-3.82,86,100,2.06,CA,1702331945
286,fort st. john,56.2499,-120.8529,-3.06,63,75,6.17,CA,1702331945
287,chimbote,-9.0853,-78.5783,21.69,76,13,4.36,PE,1702331945
288,matoury,4.8483,-52.3317,27.98,78,40,2.57,GF,1702331946
